"filename", "language", "C++", "Shell Script", "Log", "JSON", "Makefile", "C", "comment", "blank", "total"
"/Users/Jessica/git/QuadTree/build/.cmake/api/v1/reply/target-NightlyConfigure-Debug-6bb98c592d66b1cf2e68.json", "JSON", 0, 0, 0, 93, 0, 0, 0, 1, 94
"/Users/Jessica/git/QuadTree/build/.cmake/api/v1/reply/target-NightlyCoverage-Debug-2428fd18ad6bf0a1901d.json", "JSON", 0, 0, 0, 93, 0, 0, 0, 1, 94
"/Users/Jessica/git/QuadTree/build/.cmake/api/v1/reply/target-NightlyMemCheck-Debug-5f2ab1669091da079ae8.json", "JSON", 0, 0, 0, 93, 0, 0, 0, 1, 94
"/Users/Jessica/git/QuadTree/build/.cmake/api/v1/reply/target-NightlyMemoryCheck-Debug-77c0770b0c3065332e57.json", "JSON", 0, 0, 0, 93, 0, 0, 0, 1, 94
"/Users/Jessica/git/QuadTree/build/.cmake/api/v1/reply/target-NightlyStart-Debug-394d84f2b3a649c300e6.json", "JSON", 0, 0, 0, 93, 0, 0, 0, 1, 94
"/Users/Jessica/git/QuadTree/build/.cmake/api/v1/reply/target-NightlySubmit-Debug-274bd9fe3324b9805c8d.json", "JSON", 0, 0, 0, 93, 0, 0, 0, 1, 94
"/Users/Jessica/git/QuadTree/build/.cmake/api/v1/reply/target-NightlyTest-Debug-62d0e8ac55ec8c4083b9.json", "JSON", 0, 0, 0, 93, 0, 0, 0, 1, 94
"/Users/Jessica/git/QuadTree/build/.cmake/api/v1/reply/target-NightlyUpdate-Debug-d89678880006845079c4.json", "JSON", 0, 0, 0, 93, 0, 0, 0, 1, 94
"/Users/Jessica/git/QuadTree/build/.cmake/api/v1/reply/target-QuadTree-Debug-9548deadafd1629ec23b.json", "JSON", 0, 0, 0, 147, 0, 0, 0, 1, 148
"/Users/Jessica/git/QuadTree/build/CMakeFiles/3.16.4/CompilerIdC/CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 507, 50, 115, 672
"/Users/Jessica/git/QuadTree/build/CMakeFiles/3.16.4/CompilerIdCXX/CMakeCXXCompilerId.cpp", "C++", 496, 0, 0, 0, 0, 0, 52, 113, 661
"/Users/Jessica/git/QuadTree/build/CMakeFiles/CMakeOutput.log", "Log", 0, 0, 252, 0, 0, 0, 0, 35, 287
"/Users/Jessica/git/QuadTree/build/Makefile", "Makefile", 0, 0, 0, 0, 425, 0, 182, 210, 817
"/Users/Jessica/git/QuadTree/build/Testing/Temporary/LastTest.log", "Log", 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/Jessica/git/QuadTree/build/compile_commands.json", "JSON", 0, 0, 0, 42, 0, 0, 0, 0, 42
"/Users/Jessica/git/QuadTree/main.cpp", "C++", 5, 0, 0, 0, 0, 0, 1, 2, 8
"/Users/Jessica/git/QuadTree/run.sh", "Shell Script", 0, 6, 0, 0, 0, 0, 1, 2, 9
"/Users/Jessica/git/QuadTree/twoVects.cpp", "C++", 27, 0, 0, 0, 0, 0, 1, 4, 32
"/Users/Jessica/git/QuadTree/twoVects.h", "C++", 16, 0, 0, 0, 0, 0, 31, 6, 53
"Total", "-", 1293, 6, 255, 5211, 425, 507, 664, 620, 8981
